PARTNUMBER,CATENTRY_ID,BRAND,CATEGORY,NAME,ATTRIBUTENAME,ATTRIBUTE,SHORTDESCRIPTION,LONGDESCRIPTION,OFFERPRICE
AuroraWMDRS-1,10001,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,construction,Knit,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-1,10001,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,length,Short,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-1,10001,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,material,Synthetic,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-1,10001,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,occasion,Cocktail & Evening,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-2,10002,Versatil,Topwear,Versatil Empire Waist Sundress,construction,Knit,Empire waist sundress with flower print and frilly sleeves,"This oh so sheer dress will fit you like a dream, and you won't want to get out of this incredibly soft fabric. The fabulous flower print lights up the room you are in and will get you attention like never before.",50
AuroraWMDRS-2,10002,Versatil,Topwear,Versatil Empire Waist Sundress,length,Short,Empire waist sundress with flower print and frilly sleeves,"This oh so sheer dress will fit you like a dream, and you won't want to get out of this incredibly soft fabric. The fabulous flower print lights up the room you are in and will get you attention like never before.",50
AuroraWMDRS-2,10002,Versatil,Topwear,Versatil Empire Waist Sundress,material,Georgette,Empire waist sundress with flower print and frilly sleeves,"This oh so sheer dress will fit you like a dream, and you won't want to get out of this incredibly soft fabric. The fabulous flower print lights up the room you are in and will get you attention like never before.",50
AuroraWMDRS-2,10002,Versatil,Topwear,Versatil Empire Waist Sundress,occasion,Casual,Empire waist sundress with flower print and frilly sleeves,"This oh so sheer dress will fit you like a dream, and you won't want to get out of this incredibly soft fabric. The fabulous flower print lights up the room you are in and will get you attention like never before.",50
AuroraWMDRS-3,10003,Luigi Valenti,Topwear,Luigi Valenti Empire Waist Slip Dress,construction,Knit,Empire waist slip dress with a V-neck and long flared sleeves,"You can just about picture yourself in this V-necked dress doing a tango or salsa. The long sleeves and flare will add grace to your every move, dancing or otherwise. Rest assured, you will be a picture in motion.",100
AuroraWMDRS-3,10003,Luigi Valenti,Topwear,Luigi Valenti Empire Waist Slip Dress,length,Short,Empire waist slip dress with a V-neck and long flared sleeves,"You can just about picture yourself in this V-necked dress doing a tango or salsa. The long sleeves and flare will add grace to your every move, dancing or otherwise. Rest assured, you will be a picture in motion.",100
AuroraWMDRS-3,10003,Luigi Valenti,Topwear,Luigi Valenti Empire Waist Slip Dress,occasion,Casual,Empire waist slip dress with a V-neck and long flared sleeves,"You can just about picture yourself in this V-necked dress doing a tango or salsa. The long sleeves and flare will add grace to your every move, dancing or otherwise. Rest assured, you will be a picture in motion.",100
AuroraWMDRS-3,10003,Luigi Valenti,Topwear,Luigi Valenti Empire Waist Slip Dress,material,Cotton blend,Empire waist slip dress with a V-neck and long flared sleeves,"You can just about picture yourself in this V-necked dress doing a tango or salsa. The long sleeves and flare will add grace to your every move, dancing or otherwise. Rest assured, you will be a picture in motion.",100
AuroraWMDRS-4,10004,Hermitage Collection,Topwear,Hermitage Pencil Dress,construction,Knit,Pencil dress with fabric detailing and three-quarter sleeve,You will be the picture of professionalism in this pencil dress. Its incredible fit will add poise and glamor to your everyday world.,250
AuroraWMDRS-4,10004,Hermitage Collection,Topwear,Hermitage Pencil Dress,length,Mid Length,Pencil dress with fabric detailing and three-quarter sleeve,You will be the picture of professionalism in this pencil dress. Its incredible fit will add poise and glamor to your everyday world.,250
AuroraWMDRS-4,10004,Hermitage Collection,Topwear,Hermitage Pencil Dress,material,Cotton blend,Pencil dress with fabric detailing and three-quarter sleeve,You will be the picture of professionalism in this pencil dress. Its incredible fit will add poise and glamor to your everyday world.,250
AuroraWMDRS-4,10004,Hermitage Collection,Topwear,Hermitage Pencil Dress,occasion,Casual,Pencil dress with fabric detailing and three-quarter sleeve,You will be the picture of professionalism in this pencil dress. Its incredible fit will add poise and glamor to your everyday world.,250
AuroraWMDRS-5,10005,Albini,Topwear,Albini Straight Cocktail Dress,construction,Knit,Straight cocktail dress with round neck and sequence work,Round-necked sequined dress that adds character to your late-night parties. It can also double as a top paired with leggings and make you the perfect hostess.,250
AuroraWMDRS-5,10005,Albini,Topwear,Albini Straight Cocktail Dress,length,Mid Length,Straight cocktail dress with round neck and sequence work,Round-necked sequined dress that adds character to your late-night parties. It can also double as a top paired with leggings and make you the perfect hostess.,250
AuroraWMDRS-5,10005,Albini,Topwear,Albini Straight Cocktail Dress,material,Synthetic,Straight cocktail dress with round neck and sequence work,Round-necked sequined dress that adds character to your late-night parties. It can also double as a top paired with leggings and make you the perfect hostess.,250
AuroraWMDRS-5,10005,Albini,Topwear,Albini Straight Cocktail Dress,occasion,Cocktail & Evening,Straight cocktail dress with round neck and sequence work,Round-necked sequined dress that adds character to your late-night parties. It can also double as a top paired with leggings and make you the perfect hostess.,250
AuroraWMDRS-6,10006,Luigi Valenti,Topwear,Luigi Valenti Strapless Cocktail Dress,construction,Knit,Strapless cocktail dress with appliqued roses and tassels at the hem,Strapless red cocktail dress with empire waist enhances your figure. The appliqued roses and tassels at the hem gives character to the dress while the red silk bow adds to the style,250
AuroraWMDRS-6,10006,Luigi Valenti,Topwear,Luigi Valenti Strapless Cocktail Dress,length,Mid Length,Strapless cocktail dress with appliqued roses and tassels at the hem,Strapless red cocktail dress with empire waist enhances your figure. The appliqued roses and tassels at the hem gives character to the dress while the red silk bow adds to the style,250
AuroraWMDRS-6,10006,Luigi Valenti,Topwear,Luigi Valenti Strapless Cocktail Dress,material,Synthetic,Strapless cocktail dress with appliqued roses and tassels at the hem,Strapless red cocktail dress with empire waist enhances your figure. The appliqued roses and tassels at the hem gives character to the dress while the red silk bow adds to the style,250
AuroraWMDRS-6,10006,Luigi Valenti,Topwear,Luigi Valenti Strapless Cocktail Dress,occasion,Cocktail & Evening,Strapless cocktail dress with appliqued roses and tassels at the hem,Strapless red cocktail dress with empire waist enhances your figure. The appliqued roses and tassels at the hem gives character to the dress while the red silk bow adds to the style,250
AuroraWMDRS-7,10007,Albini,Topwear,Albini Sleeveless Slip Dress,construction,Knit,V-necked casual slip dress with spaghetti straps and flowery print,V-necked dress that can be worn in any season and suitable for every occasion. Look like a dream in this flowery print with the wind ruffling the uneven hem and your hair.,50
AuroraWMDRS-7,10007,Albini,Topwear,Albini Sleeveless Slip Dress,length,Short,V-necked casual slip dress with spaghetti straps and flowery print,V-necked dress that can be worn in any season and suitable for every occasion. Look like a dream in this flowery print with the wind ruffling the uneven hem and your hair.,50
AuroraWMDRS-7,10007,Albini,Topwear,Albini Sleeveless Slip Dress,material,Cotton blend,V-necked casual slip dress with spaghetti straps and flowery print,V-necked dress that can be worn in any season and suitable for every occasion. Look like a dream in this flowery print with the wind ruffling the uneven hem and your hair.,50
AuroraWMDRS-7,10007,Albini,Topwear,Albini Sleeveless Slip Dress,occasion,Casual,V-necked casual slip dress with spaghetti straps and flowery print,V-necked dress that can be worn in any season and suitable for every occasion. Look like a dream in this flowery print with the wind ruffling the uneven hem and your hair.,50
AuroraWMDRS-8,10008,Luigi Valenti,Topwear,Luigi Valenti Sleeveless Slip Dress,construction,Knit,Halter V-necked  dress with layered skirt,Halter dress with V-neck and layered skirt that is ready for a night on the town. The casual layers are chic and add spring to your step.,50
AuroraWMDRS-8,10008,Luigi Valenti,Topwear,Luigi Valenti Sleeveless Slip Dress,length,Short,Halter V-necked  dress with layered skirt,Halter dress with V-neck and layered skirt that is ready for a night on the town. The casual layers are chic and add spring to your step.,50
AuroraWMDRS-8,10008,Luigi Valenti,Topwear,Luigi Valenti Sleeveless Slip Dress,material,Cotton blend,Halter V-necked  dress with layered skirt,Halter dress with V-neck and layered skirt that is ready for a night on the town. The casual layers are chic and add spring to your step.,50
AuroraWMDRS-8,10008,Luigi Valenti,Topwear,Luigi Valenti Sleeveless Slip Dress,occasion,Casual,Halter V-necked  dress with layered skirt,Halter dress with V-neck and layered skirt that is ready for a night on the town. The casual layers are chic and add spring to your step.,50
AuroraWMDRS-9,10009,Albini,Topwear,Albini A-line Cotton Dress,construction,Knit,Double-color casual short sleeve dress with soft collar,"There's nothing like this short sleeve dress with soft collar. Stylish and modern with a playful edge, it's perfect for both work and play.",50
AuroraWMDRS-9,10009,Albini,Topwear,Albini A-line Cotton Dress,length,Mid Length,Double-color casual short sleeve dress with soft collar,"There's nothing like this short sleeve dress with soft collar. Stylish and modern with a playful edge, it's perfect for both work and play.",50
AuroraWMDRS-9,10009,Albini,Topwear,Albini A-line Cotton Dress,material,Cotton blend,Double-color casual short sleeve dress with soft collar,"There's nothing like this short sleeve dress with soft collar. Stylish and modern with a playful edge, it's perfect for both work and play.",50
AuroraWMDRS-9,10009,Albini,Topwear,Albini A-line Cotton Dress,occasion,Casual,Double-color casual short sleeve dress with soft collar,"There's nothing like this short sleeve dress with soft collar. Stylish and modern with a playful edge, it's perfect for both work and play.",50
AuroraWMDRS-10,10010,Gusso,Topwear,Gusso Casual Strapless Dress,Exclusive,Exclusive,Strapless slip dress with layered skirt,Shoulder-less black dress with a layered skirt spiced up with a brown belt to emphasize your figure. Perfect for a night out with your friends or a picnic.,50
AuroraWMDRS-10,10010,Gusso,Topwear,Gusso Casual Strapless Dress,construction,Knit,Strapless slip dress with layered skirt,Shoulder-less black dress with a layered skirt spiced up with a brown belt to emphasize your figure. Perfect for a night out with your friends or a picnic.,50
AuroraWMDRS-10,10010,Gusso,Topwear,Gusso Casual Strapless Dress,length,Long,Strapless slip dress with layered skirt,Shoulder-less black dress with a layered skirt spiced up with a brown belt to emphasize your figure. Perfect for a night out with your friends or a picnic.,50
AuroraWMDRS-10,10010,Gusso,Topwear,Gusso Casual Strapless Dress,material,Georgette,Strapless slip dress with layered skirt,Shoulder-less black dress with a layered skirt spiced up with a brown belt to emphasize your figure. Perfect for a night out with your friends or a picnic.,50
AuroraWMDRS-10,10010,Gusso,Topwear,Gusso Casual Strapless Dress,occasion,Casual,Strapless slip dress with layered skirt,Shoulder-less black dress with a layered skirt spiced up with a brown belt to emphasize your figure. Perfect for a night out with your friends or a picnic.,50
