PARTNUMBER,CATENTRY_ID,BRAND,CATEGORY,NAME,ATTRIBUTENAME,ATTRIBUTE,SHORTDESCRIPTION,LONGDESCRIPTION,OFFERPRICE
AuroraWMDRS-1,10001,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchcolor,0,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-1,10001,Hermitage Collection,Topwear,Hermitage Fit and Flare Dress,swatchSize,0,Jewel-toned cocktail dress with fitted bodice and gently flared skirt,"Classically tailored, this elegant satin dress features a bateau neckline, soft pleating, and a clasped belt to define the waist.",250
AuroraWMDRS-2,10002,Versatil,Topwear,Versatil Empire Waist Sundress,swatchcolor,0,Empire waist sundress with flower print and frilly sleeves,"This oh so sheer dress will fit you like a dream, and you won't want to get out of this incredibly soft fabric. The fabulous flower print lights up the room you are in and will get you attention like never before.",50
AuroraWMDRS-2,10002,Versatil,Topwear,Versatil Empire Waist Sundress,swatchSize,0,Empire waist sundress with flower print and frilly sleeves,"This oh so sheer dress will fit you like a dream, and you won't want to get out of this incredibly soft fabric. The fabulous flower print lights up the room you are in and will get you attention like never before.",50
AuroraWMDRS-3,10003,Luigi Valenti,Topwear,Luigi Valenti Empire Waist Slip Dress,swatchcolor,0,Empire waist slip dress with a V-neck and long flared sleeves,"You can just about picture yourself in this V-necked dress doing a tango or salsa. The long sleeves and flare will add grace to your every move, dancing or otherwise. Rest assured, you will be a picture in motion.",100
AuroraWMDRS-3,10003,Luigi Valenti,Topwear,Luigi Valenti Empire Waist Slip Dress,swatchSize,0,Empire waist slip dress with a V-neck and long flared sleeves,"You can just about picture yourself in this V-necked dress doing a tango or salsa. The long sleeves and flare will add grace to your every move, dancing or otherwise. Rest assured, you will be a picture in motion.",100
AuroraWMDRS-4,10004,Hermitage Collection,Topwear,Hermitage Pencil Dress,swatchcolor,0,Pencil dress with fabric detailing and three-quarter sleeve,You will be the picture of professionalism in this pencil dress. Its incredible fit will add poise and glamor to your everyday world.,250
AuroraWMDRS-4,10004,Hermitage Collection,Topwear,Hermitage Pencil Dress,swatchSize,0,Pencil dress with fabric detailing and three-quarter sleeve,You will be the picture of professionalism in this pencil dress. Its incredible fit will add poise and glamor to your everyday world.,250
AuroraWMDRS-5,10005,Albini,Topwear,Albini Straight Cocktail Dress,swatchcolor,0,Straight cocktail dress with round neck and sequence work,Round-necked sequined dress that adds character to your late-night parties. It can also double as a top paired with leggings and make you the perfect hostess.,250
AuroraWMDRS-5,10005,Albini,Topwear,Albini Straight Cocktail Dress,swatchSize,0,Straight cocktail dress with round neck and sequence work,Round-necked sequined dress that adds character to your late-night parties. It can also double as a top paired with leggings and make you the perfect hostess.,250
AuroraWMDRS-6,10006,Luigi Valenti,Topwear,Luigi Valenti Strapless Cocktail Dress,swatchcolor,0,Strapless cocktail dress with appliqued roses and tassels at the hem,Strapless red cocktail dress with empire waist enhances your figure. The appliqued roses and tassels at the hem gives character to the dress while the red silk bow adds to the style,250
AuroraWMDRS-6,10006,Luigi Valenti,Topwear,Luigi Valenti Strapless Cocktail Dress,swatchSize,0,Strapless cocktail dress with appliqued roses and tassels at the hem,Strapless red cocktail dress with empire waist enhances your figure. The appliqued roses and tassels at the hem gives character to the dress while the red silk bow adds to the style,250
AuroraWMDRS-7,10007,Albini,Topwear,Albini Sleeveless Slip Dress,swatchcolor,0,V-necked casual slip dress with spaghetti straps and flowery print,V-necked dress that can be worn in any season and suitable for every occasion. Look like a dream in this flowery print with the wind ruffling the uneven hem and your hair.,50
AuroraWMDRS-7,10007,Albini,Topwear,Albini Sleeveless Slip Dress,swatchSize,0,V-necked casual slip dress with spaghetti straps and flowery print,V-necked dress that can be worn in any season and suitable for every occasion. Look like a dream in this flowery print with the wind ruffling the uneven hem and your hair.,50
AuroraWMDRS-8,10008,Luigi Valenti,Topwear,Luigi Valenti Sleeveless Slip Dress,swatchcolor,0,Halter V-necked  dress with layered skirt,Halter dress with V-neck and layered skirt that is ready for a night on the town. The casual layers are chic and add spring to your step.,50
AuroraWMDRS-8,10008,Luigi Valenti,Topwear,Luigi Valenti Sleeveless Slip Dress,swatchSize,0,Halter V-necked  dress with layered skirt,Halter dress with V-neck and layered skirt that is ready for a night on the town. The casual layers are chic and add spring to your step.,50
AuroraWMDRS-9,10009,Albini,Topwear,Albini A-line Cotton Dress,swatchcolor,0,Double-color casual short sleeve dress with soft collar,"There's nothing like this short sleeve dress with soft collar. Stylish and modern with a playful edge, it's perfect for both work and play.",50
AuroraWMDRS-9,10009,Albini,Topwear,Albini A-line Cotton Dress,swatchSize,0,Double-color casual short sleeve dress with soft collar,"There's nothing like this short sleeve dress with soft collar. Stylish and modern with a playful edge, it's perfect for both work and play.",50
AuroraWMDRS-10,10010,Gusso,Topwear,Gusso Casual Strapless Dress,swatchcolor,0,Strapless slip dress with layered skirt,Shoulder-less black dress with a layered skirt spiced up with a brown belt to emphasize your figure. Perfect for a night out with your friends or a picnic.,50
AuroraWMDRS-10,10010,Gusso,Topwear,Gusso Casual Strapless Dress,swatchSize,0,Strapless slip dress with layered skirt,Shoulder-less black dress with a layered skirt spiced up with a brown belt to emphasize your figure. Perfect for a night out with your friends or a picnic.,50
AuroraWMDRS-11,10011,Versatil,Topwear,Versatil Strapless Sundress,swatchcolor,0,Strapless sundress with smoked bodice and flowery print,Celebrate life with this sheer strapless sundress that makes your mornings brighter. Perfect for a picnic or for a lazy day in the park.,50
AuroraWMDRS-11,10011,Versatil,Topwear,Versatil Strapless Sundress,swatchSize,0,Strapless sundress with smoked bodice and flowery print,Celebrate life with this sheer strapless sundress that makes your mornings brighter. Perfect for a picnic or for a lazy day in the park.,50
AuroraWMDRS-12,10012,Versatil,Topwear,Versatil Short Sleeved Wrap Dress,swatchcolor,0,Short sleeved wrap dress with flared skirt,Wrap-around dress with a flared skirt  that ends just below the knee adds grace to your walk. The perfect outfit for the workplace or for an outing.,100
AuroraWMDRS-12,10012,Versatil,Topwear,Versatil Short Sleeved Wrap Dress,swatchSize,0,Short sleeved wrap dress with flared skirt,Wrap-around dress with a flared skirt  that ends just below the knee adds grace to your walk. The perfect outfit for the workplace or for an outing.,100
AuroraWMDRS-13,10013,Albini,Topwear,Albini Silk Evening Dress,swatchcolor,0,Silk cocktail dress with pleated neck and hem,Luxurious silk dress with pleated neck and hem. Perfect for the red carpet or for a spectacular entrance.,250
AuroraWMDRS-13,10013,Albini,Topwear,Albini Silk Evening Dress,swatchSize,0,Silk cocktail dress with pleated neck and hem,Luxurious silk dress with pleated neck and hem. Perfect for the red carpet or for a spectacular entrance.,250
AuroraWMDRS-15,10014,Albini,Topwear,Albini Casual Knit Strapless Dress,swatchcolor,0,Strapless knit A-line summer dress with polka dots,Strapless knit summer dress perfect for picnics and life in the city. The polka dots and brown belt add style to simplicity.,50
AuroraWMDRS-15,10014,Albini,Topwear,Albini Casual Knit Strapless Dress,swatchSize,0,Strapless knit A-line summer dress with polka dots,Strapless knit summer dress perfect for picnics and life in the city. The polka dots and brown belt add style to simplicity.,50
AuroraWMDRS-16,10015,Gusso,Topwear,Gusso Pleated Sleeveless Dress,swatchcolor,0,Sleeveless slip dress with satin hem and flared body,"Perfect for summer, this sleeveless dress with satin hem and flared body keeps you cool.",50
AuroraWMDRS-16,10015,Gusso,Topwear,Gusso Pleated Sleeveless Dress,swatchSize,0,Sleeveless slip dress with satin hem and flared body,"Perfect for summer, this sleeveless dress with satin hem and flared body keeps you cool.",50
